sourcemac;timestamp;x_m;y_m;z_m;eta
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086138.5;47.5165925872;50.3571068699;104.861200433;-33.8830493068
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086188.0;-40.7683978206;78.4767588628;5.99515316381;-49.091452401
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086287.0;69.6577554136;65.8178228656;7.61035109743;-54.010650723
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086302.0;69.0409287524;63.5042112453;12.804332585;-48.4480631658
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086306.5;77.4327843252;63.778482319;15.1264804441;-50.8606067666
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086311.0;79.6889772161;61.0807988476;12.8927647361;-54.020603235
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086323.0;124.321212885;22.1219141894;7.7686423288;-37.4857494912
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086335.0;101.108302292;34.130132134;10.5924136752;-46.5285962314
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086360.5;69.3095615221;62.3275922509;8.47099449565;-43.7143534824
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086401.0;57.2928822075;39.8466321067;-6.40086349128;-44.0706045421
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086476.0;79.4525869765;25.8657916338;19.5340189916;-48.7073954766
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086488.0;94.5022188119;32.0724392894;11.9998415656;-45.3915751207
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086497.0;101.478708955;35.7072947077;11.9999991529;-47.9823596002
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086512.0;105.290255413;23.8638268163;15.302160818;-44.650514166
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086518.0;102.024771488;1.93688995473;12.0000999852;-45.2676156417
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086530.0;109.893088123;22.1664304821;11.9995135271;-45.7349085082
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086533.0;93.3692679915;13.0170724509;11.999593408;-44.0048127389
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086537.5;87.7761627683;22.2867508654;11.9999599386;-43.2214339887
