sourcemac;timestamp;x_m;y_m;z_m;eta
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086113;-19.3603301498;65.783328028;15.8812946762;-71.9850778722
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086173;-36.4981667978;44.2355679677;-1.32315736978;-68.5149103583
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086233;97.2277614881;135.577675999;-30.3350970557;-64.4773577739
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086293;76.9775862024;63.3301382067;18.3855437736;-69.2872249275
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086353;94.1803277594;54.4731425073;0.596215962109;-70.7619900272
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086413;90.6026023948;20.6641703301;19.184278796;-70.5102086715
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086473;89.06955288;32.0923240856;17.878422408;-70.5865016461
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086533;59.7133970388;20.2759941346;46.7782300729;-69.556302734
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086593;52.2668411185;17.5733232432;54.6824168507;-69.119152857
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086653;58.6046281826;33.04943454;23.9562561231;-69.117688252
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086713;135.839625212;36.6786389072;-2.96412929426;-67.3978467222
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086773;82.4427534686;-34.0503987181;34.3185043216;-70.4610760483
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086833;94.2737467758;-45.3962633602;7.19453772251;-71.4466212212
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086893;77.5231075936;-51.1907435862;18.1070303884;-71.365905832
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518086953;83.1392129925;-62.7119408656;-45.420208472;-68.4122451952
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087013;92.8702943387;-45.0571260274;-1.24538217042;-67.5847795175
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087073;-8.36396598055;-71.2345268413;10.8696778876;-70.2646447598
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087133;-37.8792044423;-75.5752833974;31.4716739978;-68.9320003442
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087193;18.3738296973;-31.7134944104;-76.737417798;-65.9208781629
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087253;26.6991617101;-338.193708106;-33.9635915588;-65.1699879792
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087313;-99.76665837;-92.3038373275;-19.3617923971;-66.5330582683
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087373;-105.595407951;-18.2373862703;19.6249816869;-69.1162192865
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087433;-72.6641411616;65.4638375596;15.1255049356;-69.8511551826
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087493;-57.0619127982;62.2082095208;18.4928205603;-71.3147960436
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087553;-58.9544885837;62.355790516;17.7940090076;-71.4333304925
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087613;-12.2606632579;76.7518652577;8.30422827768;-70.8468874793
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087673;-29.3753591587;95.1074781815;11.9988037642;-71.6867497787
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087733;-7.19781042192;88.095608559;11.9980270577;-71.7234930005
437aab3f88a56f32a428df1fc6b2c140bebd28cdf7601a767854c5b41e8d52c5;1518087793;-20.3488397757;57.6865180959;8.28549582335;-70.6104771902
